cnt,OPENDATA_ID,GNG_CS,FD_CS,BZ_NM,TLNO,MBZ_HR,SEAT_CNT,PKPL,HP,PSB_FRN,BKN_YN,INFN_FCL,BRFT_YN,DSSRT_YN,MNU,SMPL_DESC,SBW,BUS,LOCATION,coordinate,lat,lon
9,1535,대구광역시 북구 서변동 1783-1,한식,까치산,053-951-1515,17:00 ~ 23:00,100석,5대,boo,영어 ,가능,가능,불가능,가능,"돈절미 20,000원~39,000원 
옛고기 10,500원 
숙성삼겹살 10,500원 
한우대구식갈비살 25,000원 
한우육회 15,000원~29,000원 
돈절미 치즈+또띠아세트 42,000원 
[고기드신 후]뭉티기 20,000원~33,000원
",[까치산]은 1985년 개업해 2대째 운영되는 대구 갈비 맛집입니다.,주변에 가까운 지하철이 없습니다.,버스 정류장은 `무태조야동행정복지센터앞3` 정류장이 가장 가깝습니다.,북구,"[35.9226768, 128.5990464]",35.9226768,128.5990464
10,1534,대구광역시 북구 대현동 439-17,한식,대현옻닭식당,053-941-2755,053-941-2755,80석(룸10),없음,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"옻닭(1인분) 12,000원
옻닭(1인분) 12,000원",[대현옻닭식당]은 옻닭 한가지 메뉴만 판매하는 옻닭 전문점으로 대대로 한 가지 메뉴만 고수할 만큼  자부심이 남다른 음식점입니다.,"지하철 1호선 칠성시장역 4번 출구 도보로 약 15분 거리.
",버스 정류장은 `대일아파트건너` 정류장이 가장 가깝습니다.,북구,"[35.8828189, 128.6035694]",35.8828189,128.6035694
11,1533,대구광역시 북구 태전동 253-3,한식,이동근선산곱창 보건대직영점,053-311-1106,11:00 ~ 05:00,60석(룸1),24대,없음,영어 ,가능,불가능,불가능,가능,"선산돼지곱창전골(2인분) 16,000원~(4인분) 33,000원 
선산해물돼지곱창전골(2인분) 21,000원~(4인분) 41,000원 
선산소곱창전골(2인분) 22,000원~(4인분) 45,000원 
선산해물소곱창전골(2인분) 26,000원~(4인분) 53,000원 
선산돼지곱창전골밀키트 18,000원~34,000원 
선산소곱창전골밀키트 24,000원~46,000원 
선산해물소곱창전골밀키트 28,000원~54,000원
","곱창 프랜차이즈 유명한 [이동근선산곱창]은 보건대 인근에 위치한 직영점으로 대구 막창과 소 막창, 소 곱창 등의 돼지와 소의 내장 요리를 한 곳에서 전골로 또는 구이로 맛볼 수 있는 이색 맛집",지하철 3호선 구암역 1번 출구 도보로 약 10분 거리.,버스 정류장은 `대구보건대학건너2` 정류장이 가장 가깝습니다.,북구,"[35.9254316, 128.5444451]",35.9254316,128.5444451
12,1503,대구광역시 북구 동천동 907-7 2층,한식,삼백찬가,053-313-3007,09:00 ~ 21:00,22석,4대,www.300changa.co.kr/,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"삼백한상(11:30~14:00) 일반 6,000원 조합원 5,000원 
아메리카노 2,000원 
카페라떼 3,000원 
국화차/모링가차 2,000원 
생강차/오미자차 3,000원
","건강한 먹거리와 공동체를 위해 지역주민들이 출자하여 만든 강북희망협동조합에서 운영하는 건강한 밥과 반찬가게 &amp; 카페입니다. 
","지하철 3호선 팔거역 4번 출구 약 360m이며, 도보로 약 5분 거리.",버스 정류장은 `영남네오빌건너` 정류장이 가장 가깝습니다.,북구,"[35.9422012, 128.5597536]",35.9422012,128.5597536
13,1502,대구광역시 북구 구암동 782-6,한식,부지갱이 삼겹살,053-313-3392,10:00 ~ 22:00,56석,없음,없음,가능한 외국어가 없습니다.,,불가능,불가능,가능,"생삼겹살(130g) 9,000원 
목살(130g) 9,000원 
항정살(120g) 10,000원 
대패(130g) 9,000원 
한우차돌박이(100g) 12,000원 
한방수육 20,000원~30,000원 
정식 7,000원 
차돌된장찌개 8,000원
","부지갱이는 삼겹살 전문점으로 질 좋은 삼겹살과, 목살, 항정살 등 다양한 부위의 돼지고기와 한우갈비살을 맛볼 수 있는 음식점입니다.",주변에 가까운 지하철이 없습니다.,정류장은 `칠곡그린빌5단지앞 정류장이 가장 가깝습니다.,북구,"[35.9408964, 128.5694646]",35.9408964,128.5694646
14,1425,대구광역시 북구 학정동 967-6,디저트/베이커리,웬디베이킹(브레건스),053-314-3424,10:00 ~ 20:00,없음,2대,blog.naver.com/chj1726,영어 ,가능,불가능,불가능,불가능,"[채식메뉴 주문가능 - 비건샌드버거, 흑미쌀 식빵, 비건소스, 비건머핀, 비건파운드 등]

비건샌드버거 8,500원 ~ 9,000원 
국내산 공주 통밤 쌀식빵 5,500원 
흑미쌀 식빵 5,000원 
비건 스프레드 8,000원 
비건 마요네즈 7,000원",자연을 담은 건강한 빵을 만들고자 노력하는 곳으로 밀가루와 이스트를 전혀 쓰지 않고 쌀가루를 사용해 천연발효시킨 건강한 빵을 판매하고 있습니다.  [한국비건인증원]에서 인증한 비건 전문 베이커리입니다.,"지하철은 3호선 학정역 4번 출구 약 1.13km이며, 도보로 약 17분 거리.",버스 정류장은 `학남초등학교건너` 정류장이 가장 가깝습니다.,북구,"[35.9490954, 128.5674118]",35.9490954,128.5674118
15,1421,대구광역시 북구 읍내동 309,중식,이비가짬뽕 대구칠곡점,053-313-0101,11:00 ~ 21:00 (브레이크 타임 15:30 ~ 17:00),94석,10대,www.ebiga.co.kr/,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"이비가 볶음짬뽕 10,000원 
참새우 짬뽕 10,000원 
매생이 짬뽕 10,000원 
이비가 짬뽕 9,000원 
순한 짬뽕 9,000원 
이비가 한우짜장 7,000원 
이비가 탕수육 12,000원 ~ 17,000원",이비가짬뽕은 자연효모추출물로 맛을 내어 속이 편안하며 알칼리수로 반죽한 생면을 사용하여 소화가 잘되는 프랜차이즈 한식짬뽕 전문점입니다.,"지하철 3호선 칠곡경대병원역 3번 출구 약 980m이며, 도보로 약 13분 거리.",버스 정류장은 `대중금속공업고등학교앞` 정류장이 가장 가깝습니다.,북구,"[35.95298930000001, 128.5536542]",35.95298930000001,128.5536542
16,1420,대구광역시 북구 구암동 777-6,양식,노블하우스,053-323-7753,11:30 ~ 21:30 (평일 브레이크 타임 15:00 ~ 17:00),55석(룸2),3대,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"자연송이한우안심스테이크 45,000원 
한우안심스테이크 39,000원 
자연송이한우채끝등심스테이크 43,000원 
한우채끝등심스테이크 37,000원 
마르게리따피자 15,000원 
리코타치즈샐러드피자 17,000원 
카프리제샐러드 16,000원 
리코타샐러드 13,000원 
노블하우스스테이크코스 62,000원~65,000원 
파스타 13,900원~15,900원 
리조또 14,900원 
","칠곡 [함지공원먹골촌] 내 양식 맛집으로 소문난 `노블하우스`는 모던한 분위기에 스테이크, 파스타, 퀘사디아(멕시코 피자) 등을 즐길 수 있는 퓨전 레스토링입니다.",주변에 가까운 지하철역이 없습니다.,버스 정류장은 `화성그랜드앞` 정류장이 가장 가깝습니다.,북구,"[35.942057, 128.5710524]",35.942057,128.5710524
17,1410,대구광역시 북구 산격동 1308-10,한식,박준오 선산곱창,053-943-8979,11:00 ~ 22:00,20석,없음,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"낙곱전골 1인분 12,000원 
곱창전골 1인분 8,000원
","[박준오 선산곱창]은 경대 북문에 위치한 김치 곱창전골 전문점입니다. 

",주변에 가까운 지하철역이 없습니다.,버스 정류장은 `복현우체국앞` 정류장이 가장 가깝습니다.,북구,"[35.8946985, 128.6106403]",35.8946985,128.6106403
18,1408,대구광역시 북구 노원동2가 227-1,한식,창미고깃집,053-353-7791,10:00 ~ 22:00,72석(룸5),10대,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"한우 모듬 한접시(400g) 54,000원 
한우 등심구이(120g) 19,000원 
한우 갈비살(120g) 22,000원 
한우꽃살(120g) 26,000원 
한우안창살(120g) 29,000원 
돼지생삼겹살 9,000원 
한우마떡갈비 15,000원 
옛날소불고기 12,000원 
얼큰소전골 10,000원 
매콤갈비찜 35,000원~45,000원
","[창미고깃집]은 한정식코스, 한우구이, 생삼겹살 전문점으로 자연이 지은 밥상을 맛볼 수 있는 한식 전문점입니다.","지하철 3호선 원대역 1번 출구 약 250m이며, 도보로 약 4분 거리.",버스 정류장은 `원대오거리북편1` 정류장이 가장 가깝습니다.,북구,"[35.8889973, 128.5760398]",35.8889973,128.5760398
19,1404,대구광역시 북구 침산동 336-12,중식,동방반점,053-354-9800,10:00 ~ 21:30,70석(룸2),3대,없음,중국어 &lt;BR&gt;,가능,불가능,불가능,가능,"짜장면 5,000원 
삼선간짜장 7,000원 
삼선짬뽕 7,000원 
백짬뽕 7,000원
매생이굴짬뽕 8,000원 
해물들깨짬뽕 8,000원 
전가복 70,000원 
(특)전가복+야채누룽지탕 120,000원 
금전전복 100,000원 
해삼탕 70,000원 
송이해삼 70,000원 
새우류 28,000원 ~ 70,000원 
냉채류 18,000원 ~ 80,000원 
잡품류 30,000원 ~ 60,000원 
소고기류 30,000원 ~ 52,000원 
돼지고기류 18,000원 ~ 35,000원 
닭고기,오리류 25,000원 ~ 50,000원 

[코스요리]
매화 매 25,000원
난초 난 30,000원
소나무 송 35,000원 
국화 국 45,000원 
대나무 죽일 55,000원 
대나무 죽이 70,000원 
가족세트 70,000원 ~ 200,000원 
",동방반점은 정통중국요리 전문점으로 퓨전식 중국요리가 아닌 본토의 정통중국요리를 맛볼 수 있는 중식 전문점입니다.,주변에 지하철역이 없습니다.,버스 정류장은 `침산3동주민센터` 정류장이 가장 가깝습니다.,북구,"[35.8925871, 128.589997]",35.8925871,128.589997
20,1396,대구광역시 북구 노원동3가 1226,한식,비봉산뼈다귀감자탕,053-256-1007,24시간,100석(룸1),6대,없음,가능한 외국어가 없습니다.,가능,불가능,가능,가능,"해장국 8,000원
뼈추가 15,000원 
순대국 6,000원 
갈비탕 7,000원 
뚝불고기 8,000원 
감자탕 26,000원 ~ 36,000원 
등뼈찜 30,000원 ~ 40,000원 
해물등뼈찜 32,000원 ~ 43,000원 
호호찰순대 10,000원 
소불고기전골 8,000원 
돼지찌개 8,000원
","[비봉산뼈다귀감자탕]은 해장국, 감자탕, 등뼈찜, 해물등뼈찜 등 다양한 탕,국 요리를 맛볼 수 있는 해장국/감자탕 전문점입니다.",주변에 가까운 지하철역이 없습니다.,버스 정류장은 `노원네거리3(기업은행)` 정류장이 가장 가깝습니다.,북구,"[35.8989687, 128.5790088]",35.8989687,128.5790088
21,1379,대구광역시 북구 팔달동 72-7,한식,우슴터,053-327-3279,10:00 ~ 22:00,132석(룸4),25대,없음,영어 ,가능,가능,불가능,가능,"명품돼지갈비(200g) 9,800원 
지리산흑돼지삼겹살(100g) 8,500원 
한우갈비살(100g) 17,500원 
한우살치꽃살(100g) 22,000원 
한우안창살(100g) 26,000원 
한돈통뼈해장국 8,500원 
한우진곰탕/육개장 8,500원 
석쇠불고기정식 15,000원 
불고기비빔밥 8,500원
",[우슴터]는 대구시 연 요리 지정업체로 계절담은 연요리 정찬과 국내산 프리미엄 돼지갈비(한돈) 전문점입니다.,"지하철 3호선 팔달역 1번 출구 약 210m이며, 도보로 약 3분 거리.",버스 정류장은 `팔달초등학교` 정류장이 가장 가깝습니다.,북구,"[35.8973428, 128.5448919]",35.8973428,128.5448919
22,1378,대구광역시 북구 침산동 1757,한식,풍국면,053-351-3377,11:30 ~ 21:30,36석,700대,poongkukmyeon.modoo.at/,가능한 외국어가 없습니다.,불가,불가능,불가능,불가능,"풍년셋트 23,500원 
풍국셋트 22,000원 
40℃별표국수 6,000원 
열무비빔국수 7,500원 
꼬막해초비빔밥 9,500원 
동죽칼국수 8,500원 
부추만두 6,000원 
마늘불고기 9,000원 
강릉짬뽕칼국수+애기밥 9,500원
",[풍국면]은 오랜 전통을 자랑하는 국수 전문기업인 풍국면의 첫 매장입니다.,주변에 가까운 지하철이 없습니다.,버스 정류장은 `오페라하우스앞` 정류장이 가장 가깝습니다.,북구,"[35.8978321, 128.5858193]",35.8978321,128.5858193
23,1377,대구광역시 북구 침산3동 336-21,전통차/커피전문점,수야커피,053-357-3358,10:00 ~ 22:00 (일요일 10:30 ~ 20:00),40석,4대,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"[핸드드립]
(아이스 +500원/스트롱 +1,000원)
브라질 5,000원
콜롬비아 6,000원
에티오피아 5,500원 
케냐 6,000원 
카메룬 블루마운틴 6,000원
과테말라 5,000원 
코스타리카 5,000원
엘살바도르 5,000원 
인도네시아 만델링 5,000원 

[더치]
(스트롱 +1,000원)
더치 아메리카노(HOT/ICE) 3,500원/4,000원 
더치 휘핑카푸치노(HOT/ICE) 4,500원/5,000원 
더치 비엔나(HOT/ICE) 5,000원/5,500원 
더치 카라멜마끼아또(HOT/ICE) 4,500원/5,000원 

[에이드]
자몽에이드 5,500원
더치에이드 4,500원 
애플에이드 4,500원
생레몬에이드 4,500원",[수야커피]는 에스프레소 기계를 사용하지 않는 핸드드립 전문점으로 예쁜 찻잔들 중 자신이 고른 찻잔으로 커피를 마실 수 있는 아늑한 카페입니다.,주변에 지하철역이 없습니다.,버스 정류장은 `침산3동주민센터` 정류장이 가장 가깝습니다.,북구,"[35.89246430000001, 128.5900437]",35.89246430000001,128.5900437
24,1331,대구광역시 북구 구암동 778-3,일식,긴자초밥,053-326-0327,11:00 ~ 23:30,75석(룸10),10대,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"긴자(송)코스 80,000원 
긴자(죽)코스 55,000원 
긴자(매)코스 40,000원
",[긴자초밥]은 북구 (함지공원먹골촌) 내 위치한 전통 일식 전문점입니다.,주변에 가까운 지하철이 없습니다.,버스 정류장은 `화성그랜드앞` 정류장이 가장 가깝습니다.,북구,"[35.9417073, 128.5706719]",35.9417073,128.5706719
25,1326,대구광역시 북구 침산동 285-5,세계요리,더포 침산직영점,053-351-4540,11:00 ~ 22:00 (브레이크 타임 16:00 ~ 17:00),62석,100대,없음,가능한 외국어가 없습니다.,,불가능,불가능,불가능,"쌀국수 10,000~11,000원 
가느엉라짠 9,000원 
짜조 9,000원 
스페셜에피타이저 17,000원 
월남쌈 30,000 ~ 39,000원 
텃틴투25,000원 
반쎄오 23,000원 
껌텁 10,000원 
껌돔 10,000원 
껌텁깜 11,000원 
껌보텁깜 13,000원 
분짜 15,000원
 퍼가이텁깜 11,000~12,000원 
팟타이 13,000원

 [세트메뉴] 
2인 24,000원~37,000원 
3인 36,000원~55,000원 
4인 48,000원~68,000원
",[더포 침산직영점]은 정통 베트남 요리를 한국인의 입맛에 맛도록 현지화한 음식점. 단골이 많은 프랜차이즈 전문점입니다.,주변에 가까운 지하철이 없습니다.,버스 정류장은 `명성푸르지오건너` 정류장이 가장 가깝습니다.,북구,"[35.888786, 128.5918927]",35.888786,128.5918927
26,1325,대구광역시 북구 태전동 206-17,한식,전원숯불 태전점,053-268-1540,11:00 ~ 23:00,144석(룸2),70대,없음,기타 (베트남어),가능,가능,불가능,가능,"돼지양념구이(200g) 8,000원 
돼지양념목살구이(200g ) 9,000원 
돼지옛날갈비(200g) 9,000원 
돼지양념통갈비 9,500원 
생삼겹살(150g) 9,500원 
생목살구이(150g) 9,500원 
한우생갈비(120g) 19,000원 
한우마늘양념갈비(120g) 19,000원 
한우등심구이(120g) 20,000원 
한우특갈비살(120g) 21,000원 
한우육회(200g) 23,000원 

[고기드신 난 뒤] 
물/비빔냉면 5,000원 
얼큰냉면 5,000원 
온/냉소면 4,000원 
영양돌솥밥/곤드레돌솥밥 5,000원 
된장찌개 1,000원 

[점심특선 11:00 ~ 16:00] 
영양돌솥밥정식 9,000원 
곤드레돌솥밥정식 9,000원 
보쌈정식 8,000원 
육회비빔밥 + 소고기된장찌개 12,000원
옛날불고기정식 12,000원","[전원숯불 태전점]은 한우와 돼지고기 전문점으로 질 좋은 고기만을 공급받아 사용하는 프랜차이즈 숯불구이 전문점입니다.
","지하철 3호선 태전역 1번 출구 방면 약 300m이며, 도보로 약 5분 거리입니다.",버스 정류장은 `태전중앙시장앞` 정류장이 가장 가깝습니다.,북구,"[35.9193234, 128.5458371]",35.9193234,128.5458371
27,1309,대구광역시 북구 칠성동2가 90,양식,겟이공일(GET201) 침산점,053-355-0201,10:30 ~ 22:00,114석(룸2),50대,get201cs.modoo.at,영어 중국어 &lt;BR&gt;기타 (베트남어),가능,가능,불가능,불가능,"브런치 10,800원~ 
샐러드 5,900원~ 
밥(볶음밥, 리조또) 12,800원~ 
피자 11,900원~ 
파스타 11,800원~ 
스테이크 12,800원~
","[겟이공일(GET201)]은 북유럽풍 브런치 다이닝 펍 레스토랑입니다. 피자, 파스타, 스테이크 등의 양식과 함께 풀바센과 콜라보레이션으로 신선한 커피와 아이스크림을 풀바셋 매장과 동일하게 즐길 수 있습니다.","지하철은 3호선 북구청역 약 520m이며, 도보로 약 8분 거리입니다.",버스 정류장은 `북구청앞` 정류장이 가장 가깝습니다.,북구,"[35.8843299, 128.58583]",35.8843299,128.58583
28,1308,대구광역시 북구 대현동 255-5,한식,언덕아래집,053-941-5229,10:00 ~ 22:00,70석,없음(노상 주차 가능),www.ofood.co.kr/SHOP/home/shop.php?SHOP_TBL=SHOP_7&amp;sno=1000017715,영어 기타 (베트남어),가능,불가능,불가능,가능,"쇠고기버섯전골 18,000원 ~ 29,000원 
불고기버섯낙지전골 22,000원 ~ 33,000원 
버섯부대전골 18,000원 ~ 29,000원 
버섯낙지볶음(밥) 8,000원 
묵은지우리생삼겹살 8,000원 
꽃님이꽃등심 22,000원 
돼지주물럭 6,000원 
고추장불고기 6,500원 
버섯순두부백반 6,000원 
된장비빔밥 6,000원 
옹기(돌솥)비빔밥 6,000원 
언덕아래집비빔밥 5,500원 
묵은지김치찌개밥 6,000원
",[언덕아래집]은 신선한 버섯과 육수가 어우러진 버섯전골과 다양한 한식을 맛볼 수 있는 음식점입니다.,주변에 가까운 지하철역이 없습니다.,"버스 정류장은 `경북대학교서문앞` 정류장이 가장 가깝습니다.
",북구,"[35.8880701, 128.6037167]",35.8880701,128.6037167
29,1307,대구광역시 북구 칠성동2가 2-2,한식,한가네칼국수,053-351-7999,10:30 ~ 20:30,60석(룸1),상가공용주차장,없음,기타 (베트남어),가능,불가능,불가능,가능,"들깨칼국수 7,000원 
얼큰장칼국수 7,000원 
부추칼국수 6,000원 
잔치국수 5,000원 
나물밥 7,000원 
묵밥 7,000원 
콩나물국밥 6,000원 
육전 13,000원 
부추전 5,000원 
만두 5,000원 
굴국밥 8,000원 
콩국수 8,000원
","[한가네칼국수]는 칼국수 프랜차이즈입니다. 
천연 재료로 만든 건강한 육수를 사용한 웰빙 칼국수를 맛볼 수 있습니다.","지하철은 3호선 북구청역 1번 출구 약 720m이며, 도보로 약 11분 거리입니다.","버스 정류장은 `대구은행제2본점앞` 정류장이 가장 가깝습니다.
",북구,"[35.8856733, 128.5877583]",35.8856733,128.5877583
30,1297,대구광역시 북구 침산동 105-2,한식,(주)카페동이3호점,053-355-0609,11:30 ~ 10:00,36석,삼성창조경제단지 주차장(2시간 무료),cafedong03.modoo.at/?link=erk73q4p,영어 일본어 중국어 &lt;BR&gt;기타 (베트남어),3시 이후 가능,불가능,불가능,불가능,"동이불고기밥상 7,900원 
양구시래기밥상 8,500원 
대게딱지장밥상 9,900원 
동이탕수육 13,800원 
우삼겹된장찌개밥상 8,900원 
동이탕수육정식 10,900원 
동이한상세트 29,900원 
동이제육볶음정식 10,900원
","[카페동이3호점]은 건강을 생각하는 농부들의 따스한 `마음`을 오롯이 담아내기 위해 건강한 밥상, 따뜻한 한끼를 정성을 다해 요리하는 음식점입니다.",주변에 가까운 지하철이 없습니다.,버스 정류장은 `홈플러스대구점2` 정류장이 가장 가깝습니다.,북구,"[35.8836133, 128.5944526]",35.8836133,128.5944526
31,1239,대구광역시 북구 읍내동 976,한식,기와집보쌈,053-324-6886,12:00 ~ 22:00 (일요일 21:00 까지),82석(룸3),20대,없음,기타 (베트남어),가능,불가능,불가능,가능,"기와집보쌈 33,000원 ~ 53,000원 
튀김족발 43,000원 
1인보쌈(점심특선) 10,000원 
국보세트(칼국수/막국수/콩국수) 11,000원 
산더미쟁반막국수 8,000원 
메밀막국수(물,비빔선택) 7,000원 
칼국수 6,000원 
",기와집보쌈은 과일 숙성시킨 한약재와 야채로 여러 번 삶아 고기의 깊고 부드러운 맛을 느낄 수 있는 소문난 보쌈 전문점입니다.,"지하철은 3호선 동천역 1번 출구 약 360m이며, 도보로 약 6분 거리입니다.",버스 정류장은 `대천초등학교앞` 정류장이 가장 가깝습니다.,북구,"[35.9381057, 128.5533475]",35.9381057,128.5533475
32,1222,대구광역시 북구 산격동 1646,한식,아라쭈꾸미 대구유통단지점,053-384-0466,12:00 ~ 24:00,80석(룸1),6대,053-384-0466.kti114.net/,영어 기타 (베트남어),가능,불가능,불가능,가능,"숯불닭갈비세트 15,000원 
숯불쭈꾸미세트 15,000원 
숯불돼지갈비세트 14,000원 
아라쭈꾸미세트 15,000원","아라쭈꾸미는 참숯향 가득 쭈꾸미, 돼지갈비, 닭갈비를 맛볼 수 있는 숯불 돌구이 전문점입니다.",주변에 지하철이 없습니다.,버스 정류장은 `북대구초등학교 건너` 정류장이 가장 가깝습니다.,북구,"[35.9047307, 128.6091054]",35.9047307,128.6091054
33,1198,대구광역시 북구 고성동3가 57,한식,진국닭개장,053-353-5213,11:30 ~ 20:00 / (토) 11:30 ~ 15:00,38석,없음,없음,영어 기타 (베트남어),가능,불가능,불가능,가능,"진국닭개장 7,000원 
녹두빈대떡 7,000원
",진국닭개장은 국내산 재료로 만든 진한 국물의 몸보신 닭개장 전문점입니다.,"지하철 3호선 북구청역 4번 출구 약 300m이며, 도보로 약 4분 거리.",버스 정류장은 `북구청앞` 정류장이 가장 가깝습니다.,북구,"[35.8834854, 128.5832255]",35.8834854,128.5832255
34,1197,대구광역시 북구 노원동1가 1-1,한식,한마리통큰(한통정육식당),053-353-9285,11:30 ~ 23:50,80석,10대,없음,기타 (베트남어),가능,불가능,불가능,가능,"소한마리(1.2kg) 42,000원 
돼지한마리(1kg) 39,000원 
한통한마리(1kg) 39,000원 
소모듬(1.2kg) 42,000원 
양념LA갈비(1kg) 39,000원 
부채살 (600g)30,000원 
소갈비살(600g) 33,000원 
소꽃등심(600g) 27,000원 
우삼겹(600g) 23,000원 
육회한접시(200g) 12,000원 
생삽겹살(180g) 8,000원 
생목살(180g) 8,000원 
생가브리살(180g) 8,000원
",한마리통큰정육식당은 한자리에서 쇠고기와 돼지고기의 여러 부위를 즐길 수 있는 육고기 전문점입니다.,"지하철은 3호선 북구청 2번 출구 약 760m이며, 도보로 약 11분 거리.",버스 정류장은 `북대구세무서건너` 정류장이 가장 가깝습니다.,북구,"[35.8899105, 128.5827388]",35.8899105,128.5827388
35,1195,대구광역시 북구 산격동 615-25,한식,애가남원추어탕순두부,053-384-7775,11:00 ~ 22:00,110석(룸5),공영주차장 무료,없음,영어 기타 (베트남어),가능,불가능,불가능,가능,"남원추어탕돌솥밥 7,000원 
해물순두부돌솥밥 7,000원 
녹두삼계탕 9,000원 
문어숙회 30,000원 
바로삶은보쌈 25,000원 ~ 45,000원 
추어튀김/새우튀김 6,000원 ~ 12,000원 
메밀전병 5,000원 
돼지불고기 12,000원 ~ 18,000원 
해물파전 12,000원 
두부김치 10,000원 
물만두 5,000원 
부추전 7,000원
",애가남원추어탕순두부는 추어탕. 순두부가 유명한 곳으로 돌솥밥을 곁들여 먹을 수 있는 추어탕.순두부 전문점입니다.,"주변에 가까운 지하철이 없습니다.
",버스 정류장은 `전자상가` 정류장이 가장 가깝습니다.,북구,"[35.905832, 128.6044864]",35.905832,128.6044864
36,1194,대구광역시 북구 대현동 395-1,한식,임꺽정참숯화로,053-958-0507,11:00 ~ 23:00,100석(룸1),5대,www.instagram.com/daegu_limkukjung,영어 기타 (베트남어),가능,불가능,불가능,가능,"한우갈비살(100g) 18,000원 
꽃갈비살(100g) 22,000원 
오겹김치찌개 10,000원 
수제양념돼지갈비(200g) 9,500원 
제주오겹살(150g) 11,000원 

[점심특선]
정식 7,000원 
돌솥밥정식 9,000원 
물냉면/비빔냉면 7,000원 
한우소고기국밥 8,000원 
영양갈비탕 8,000원 
소갈비찜+공기밥 10,000원 
소갈비찜+돌솥밥 12,000원
",임꺽정참숯화로는 숙성시킨 한우와 제주도에서 직접 공급받는 제주돼지가 유명한 참숯 화로구이 전문점입니다.,"지하철 1호선 칠성시장역 4번 출구 약 1km이며, 도보로 약 16분 거리.",버스 정류장은 `동대구시장앞` 정류장이 가장 가깝습니다.,북구,"[35.88176929999999, 128.6074134]",35.88176929999999,128.6074134
37,1193,대구광역시 북구 대현동 321-70,중식,수봉반점,053-941-1503,11:00 ~ 15:00,20명,신광교회 주차장,없음,기타 (베트남어),불가능,불가능,불가능,불가능,"바람돌이 짬뽕밥 8,000원 
바람돌이 짬뽕 8,000원 
중화비빔밥 8,000원 
중화비빔면 8,000원 
짜장없는 볶음밥 8,000원
",수봉반점은 야채를 듬뿍 넣어 시원한 국물맛을 낸 짬뽕과 백종원의 3대천왕에 소개된 대구 중화비빔밥 맛집으로 소문난 음식점입니다.,"지하철 1호선 칠성시장역 4번 출구 약 400m이며, 도보로 약 6분 거리.",버스 정류장은 `농협중앙회앞` 정류장이 가장 가깝습니다.,북구,"[35.8782791, 128.6063956]",35.8782791,128.6063956
38,1192,대구광역시 북구 산격동 1498-54,한식,장원,053-956-9494,09:30 ~ 21:30,104석(룸6),없음(노상주차),없음,기타 (베트남어),가능,불가능,불가능,가능,"장원 명품 스페셜(100g) 33,000원 
모듬스페셜(100g) 27,000원 
생갈비살(100g) 22,000원 
불고기(160g) 14,000원
",장원은  1+이상의 한우와 다양한 밑반찬을 맛볼 수 있는 한우 전문점입니다.,주변에 가까운 지하철이 없습니다.,버스 정류장은 `실내체육관건너` 정류장이 가장 가깝습니다.,북구,"[35.8922356, 128.6032487]",35.8922356,128.6032487
39,1191,대구광역시 북구 산격2동 1272-1,한식,부림손수제비칼국수,053-382-5933,10:00 ~ 22:00,48석(룸1),없음,없음,영어 기타 (베트남어),,불가능,불가능,가능,"해물손수제비 6,500원 
해물칼국수 6,500원 
얼큰손수제비 7,000원 
들깨수제비 7,000원 
얼큰칼국수 7,000원 
들깨칼국수 7,000원 
해물칼제비 7,000원 
얼큰칼제비 7,000원 
들깨칼제비 7,000원 
김치만두 5,000원 
고기만두 5,000원 
치즈돈까스 8,000원 
비빔밥 6,000원 
돌솥비빔밥 7,000원
","부림손수제비칼국수는 해물칼국수, 해물손수제비, 얼큰칼국수, 들깨수제비 등 다양한 수제비와 칼국수를 맛볼 수 있는 음식점입니다.",주변에 가까운 지하철이 없습니다.,버스 정류장은 `산격종합시장앞` 정류장이 가장 가깝습니다.,북구,"[35.9000142, 128.6099644]",35.9000142,128.6099644
40,1190,대구광역시 북구 산격동 1231-1,한식,오륙도,053-943-0330,12:00 ~ 24:00,64석(룸2),없음(노상주차),없음,기타 (베트남어),가능,불가능,불가능,가능,"오륙도 싱싱회 25,000원~50,000원 
오륙도 막썰어회 20,000원~40,000원 
모듬회 25,000원~50,000원 
광어/밀치 25,000원~50,000원
",오륙도 횟집은 신선한 횟감만 사용하는 곳으로 저렴한 가격에 푸짐한 양을 맛볼 수 있는 횟집입니다.,주변에 가까운 지하철이 없습니다.,버스 정류장은 `대원유치원건너` 정류장이 가장 가깝습니다.,북구,"[35.897499, 128.6061633]",35.897499,128.6061633
